application_id,business_name,sector,region,ethnic_group,years_in_operation,owner_gender,owner_age,disability_status,num_employees,annual_revenue_ghs,monthly_momo_volume_ghs,avg_monthly_bank_balance_ghs,bank_account_tenure_months,has_momo_account,gra_tin,loan_amount_requested_ghs,loan_purpose,collateral_type,collateral_value_ghs,previous_loan_count,previous_default,credit_bureau_score,rm_recommendation,internal_risk_grade,application_date,contact_phone,days_past_due_current,loan_default
SBG-2025-02235,Oyibi LogisticsEnterprises,ICT,Greater Accra,Akan,5.5,Male,40,No,14,16930.16,7074.62,,15,Y,P005613159,112901.89,Equipment,Stock/Inventory,23743.27,1,No,592,Approve,C,25/06/2024,0540362510,0,0
SBG-2025-02628,Achimota FarmsEnterprises,Healthcare,Eastern,Ga-Adangbe,5.8,female,43,No,15,24781.11,4445.6,7196.88,240,Y,,7782.4,Asset Purchase,Stock/Inventory,14634.1,1,No,,Decline,E,13/08/2025,0548561581,129,1
SBG-2025-02349,Ama Beauty SuppliesLtd,Mining/Quarrying,Greater Accra,Ga-Adangbe,4.5,F,43,No,11,130852.2,940,40224.9,10,Y,,43679.1,Debt Refinancing,Property,12313.36,3,No,,Approve,B,08/10/2025,0594664995,0,0
SBG-2025-01519,Dzorwulu DigitalEnterprises,ICT,Greater Accra,Akan,1.4,Female,43,No,4,105825.79,5396.07,8906.41,139,No,V006831963,17027.24,Renovation,Property,75014.71,1,No,,Approve,B,15/08/2025,0242706018,0,0
SBG-2025-01375,Lapaz CateringVentures,Education,Savannah,Mole-Dagbani,1.4,Male,35,No,4,19420.02,6804.34,,4,no,,8476.36,Vehicle Purchase,Vehicle,246551.91,3,No,,Approve,A,14/06/2025,0543830396,0,0
SBG-2025-01134,Abokobi PoultryGH,Transport,Greater Accra,Akan,1.2,Female,41,No,5,"GHS 90,445.56",10598.53,3914.08,0,yes,,27375.96,Equipment,None,0,1,No,,Approve,A,26/01/2024,0554367697,0,0
SBG-2025-00169,Kumasi MetalworksVentures,Services,Western North,Akan,0.2,Female,39,No,2,23123.11,8206.99,60033.43,2,0,,30919.48,Inventory Purchase,Stock/Inventory,557393.68,2,No,524,Approve,B,28/12/2025,0541091762,0,0
SBG-2025-00728,Prestea Gold ServicesGH,Healthcare,Central,Akan,7.9,Male,47,No,3,10594.06,5053.37,38657.66,3,Y,PENDING,19082.56,Renovation,Cash Deposit,446859.06,1,No,,Approve,B,07/25/2024,0279432339,0,0
SBG-2025-01378,Grace Foods LtdLtd,Hospitality,Ashanti,Akan,3.6,Male,52,No,5,7611.17,,220.76,24,0,P008876442,255366.68,Inventory Purchase,Vehicle,27277.32,3,No,,Approve,B,09/06/2025,0590720177,0,0
SBG-2025-02173,East Legon PropertiesLtd,Construction,Ashanti,Akan,1,Male,46,No,8,3505.01,13814.19,13739.32,39,N,C005373310,71590.96,Inventory Purchase,Guarantor Only,0,1,No,,Approve,C,10/10/2025,0200653466,0,0
SBG-2025-00719,Dome-Kwabenya FarmsCo,Hospitality,Western,Akan,0.7,Male,44,No,17,561019.41,5407.26,4663.4,89,0,,7078.95,Equipment,Land,39364.72,0,,,Decline,B,25/04/2025,0273452593,0,0
SBG-2025-02203,Circle ManufacturingCo,Transport,Central,Akan,2.7,Male,50,No,1,8547.61,,822.49,38,Y,,14446.84,Renovation,None,,2,No,545,Approve,B,03/20/2025,0548501147,0,0
SBG-2025-01873,Obuasi Mining SuppliesGH,Education,Greater Accra,Akan,3.5,Female,41,No,6,,8759.49,10090.53,10,Yes,,16484.54,Debt Refinancing,Stock/Inventory,91424.07,3,No,,Approve,B,09/17/2024,0204716323,0,0
SBG-2025-02263,Mensah EnterpriseGH,Education,Greater Accra,Akan,11.2,M,56,No,3,476729,840.48,4597.17,37,Yes,P004118192,69826.48,Business Expansion,Guarantor Only,0,0,,,Approve,B,19/06/2025,0594725404,0,0
SBG-2025-02960,Golden Gate ImportsVentures,Education,Ashanti,Akan,8.2,Female,32,No,5,10976.58,3026.57,6837.96,2,No,C006981045,25402.08,Asset Purchase,Property,40837.41,1,No,559,Approve,B,22/04/2025,0272240884,0,0
SBG-2025-00368,Weija Block Factory,Transport,Ashanti,Akan,11.8,female,50,No,5,74586.4,1234.02,5262.94,101,N,C000868306,36832.69,Working Capital,Guarantor Only,0,0,,,Approve,A,05/09/2025,0207491163,0,0
SBG-2025-01682,Golden Gate ImportsVentures,Hospitality,Western,Akan,18.6,female,27,No,4,247322.92,1499.51,1382.3,57,Yes,,886.29,Asset Purchase,Cash Deposit,66868.87,1,No,,Refer,D,03/07/2024,0209452641,103,1
SBG-2025-02305,Axim FisheriesGH,Construction,Bono,Akan,13.4,female,49,No,21,16716.51,5258.2,116948.95,32,1,V009691569,5428.82,Business Expansion,Stock/Inventory,8281.16,2,No,537,Approve,C,05/08/2024,0549855013,0,0
SBG-2025-01589,Dome PharmacyLtd,Construction,Eastern,Ewe,2.8,Female,38,No,4,9005.18,,2721.13,0,No,,2098.21,Inventory Purchase,None,0,3,No,,Approve,A,19/09/2025,0540103938,0,0
SBG-2025-02868,Weija Block FactoryLtd,Mining/Quarrying,Western,Akan,7.1,female,36,No,1,49476.95,1931.94,22375.57,21,yes,P001352668,5757.61,Business Expansion,Cash Deposit,300168.46,2,No,,Decline,D,12/22/2024,0207043635,96,1
SBG-2025-00352,Ashaiman Steel WorksVentures,Retail/Trading,Central,Akan,9.7,Female,52,No,5,24794.89,6334.05,13947.24,10,1,V001841988,9970.41,Debt Refinancing,Cash Deposit,,3,No,,Approve,B,28/08/2024,0546942340,0,0
SBG-2025-01026,Dome-Kwabenya FarmsGH,Healthcare,Volta,Ewe,3.2,F,31,No,22,12854.06,3210.18,13878.72,33,Yes,,19042.57,Vehicle Purchase,Cash Deposit,44958.16,2,No,482,Approve,B,12/09/2025,0269925794,0,0
SBG-2025-01180,Kwaku Trading,Services,Ashanti,Akan,3.9,male,31,No,3,47670.75,3055.21,,16,yes,C007959769,12181.43,Asset Purchase,None,0,1,No,,Approve,B,09/09/2025,0593314359,0,0
SBG-2025-02402,Dzorwulu DigitalCo,Hospitality,Ashanti,Gurma,0.4,Female,39,No,10,311569.19,2791.42,44461.83,1,1,,10628.99,Asset Purchase,Guarantor Only,,1,Yes,470,Approve,B,23/10/2025,0594710669,0,0
SBG-2025-01912,Techiman Market StoreEnterprises,Manufacturing,Ashanti,Akan,10.5,M,39,No,7,"GHS 229,210.27",2698.73,,24,Yes,,9180.08,Debt Refinancing,Stock/Inventory,48459.97,1,No,629,Approve,B,17/02/2025,0276381744,0,0
SBG-2025-02725,Volta FarmsLtd,Mining/Quarrying,Greater Accra,Akan,2.5,Female,44,No,1,22404.31,45029.93,5680.38,40,N,,166519.24,Debt Refinancing,Equipment,65512.31,1,No,,Approve,A,12/13/2025,0542561603,0,0
SBG-2025-02400,Kaneshie ProvisionsEnterprises,Mining/Quarrying,Western North,Ewe,5.1,female,42,No,29,47095.94,6170.19,8625.88,18,Yes,C008513761,6636.76,Asset Purchase,Vehicle,34248.32,2,No,,Approve,A,12/04/2025,0241782289,0,0
SBG-2025-00499,Legon Tech HubVentures,Agriculture,Greater Accra,Akan,18.3,M,35,No,2,28305.83,192.5,55581.69,48,Yes,,39140.23,Business Expansion,Property,111498.01,0,,632,Approve,B,28/10/2024,0207775283,0,0
SBG-2025-01118,Techiman Market StoreCo,Manufacturing,Greater Accra,Akan,10.5,Female,43,Yes,4,3679.4,4945.3,,11,Y,,7528.54,Asset Purchase,Land,175324.07,4,No,564,Refer,B,04/03/2024,0245082594,0,0
SBG-2025-00211,Mensah EnterpriseVentures,Services,Bono East,Ga-Adangbe,4,Male,31,No,2,32800.08,,58795.27,43,1,,6097.2,Vehicle Purchase,Property,30490.28,0,,381,Approve,C,25/10/2024,0269825035,0,0
SBG-2025-02780,Ama Beauty SuppliesEnterprises,Hospitality,Western,Ga-Adangbe,1.2,Female,42,No,9,258902.81,277.22,172.57,53,No,,71154.15,Inventory Purchase,None,0,0,No,,Approve,A,03/12/2025,0204596025,0,0
SBG-2025-02380,Nkrumah Circle ElectronicsEnterprises,Manufacturing,Greater Accra,Mole-Dagbani,8,Male,42,No,8,11353.19,4682.87,1631.64,27,N,P009574253,8660.94,Equipment,Vehicle,40196.86,0,,486,Approve,B,06/07/2024,0547853185,0,0
SBG-2025-00228,Sunyani TimberLtd,Fishing,Greater Accra,Ga-Adangbe,2.5,Male,51,No,8,13623.97,,,19,No,V005955369,25806.77,Business Expansion,None,0,2,No,524,Refer,D,01/04/2024,0263229873,33,1
SBG-2025-00366,Airport City ConsultingEnterprises,Healthcare,Ashanti,Akan,2.4,female,20,No,4,140070.79,401.18,118.22,26,yes,V009674787,13110.42,Vehicle Purchase,Stock/Inventory,12132.95,1,No,412,Approve,B,10/27/2024,0262528640,0,0
SBG-2025-02926,Kaneshie Motors,Construction,Greater Accra,Akan,11.6,Female,49,No,10,191666.65,5506.58,2585.87,24,yes,C002601614,110904.59,Working Capital,Property,,2,No,,Approve,C,03/10/2025,0241538229,0,0
SBG-2025-02502,Accra Fresh FishLtd,ICT,Ashanti,Ewe,7.2,Male,67,Yes,5,169255.33,2330.06,,1,Yes,PENDING,25422.73,Working Capital,Equipment,55348.46,0,,,Decline,B,07/05/2025,0203672096,0,0
SBG-2025-02002,Teshie VenturesEnterprises,Education,Ashanti,Ewe,1.4,male,42,No,8,6078.56,5214.93,963.2,106,1,PENDING,36549.05,Vehicle Purchase,None,,2,No,,Approve,A,08/11/2024,0278684288,0,0
SBG-2025-01812,Lapaz Catering,Fishing,Greater Accra,Akan,7.2,female,46,No,6,46482.11,1919.99,7289.72,12,No,,7597.9,Debt Refinancing,Cash Deposit,18374.19,1,No,672,Approve,B,26/07/2025,0543301813,0,0
SBG-2025-02113,Korle Bu Supplies,Fishing,Ashanti,Ga-Adangbe,1,M,50,No,2,21377.48,6881.69,16978.04,81,No,V000019950,20253.63,Working Capital,Vehicle,9736.98,1,No,,Approve,A,21/10/2025,0268180590,0,0
SBG-2025-00408,Ashaiman Steel WorksGH,ICT,Oti,Guan,0.1,Female,34,No,5,93071.48,23718.14,2393.39,61,Yes,C005566705,6909.95,Asset Purchase,Stock/Inventory,125717.34,3,No,487,Approve,A,12/01/2024,0201495996,0,0
SBG-2025-01988,Adenta Construction,Fishing,Greater Accra,Ewe,3.4,male,47,No,1,683713.2,1450.63,4337.1,15,yes,C002890099,46865.06,Equipment,Vehicle,26339.19,2,No,,Approve,D,01/09/2024,0200256421,32,1
SBG-2025-02924,Dome PharmacyCo,ICT,Volta,Ewe,1,F,48,No,5,193919.51,241.82,19449.84,29,No,C005338522,28526.1,Vehicle Purchase,Guarantor Only,0,1,No,842,Refer,A,12/06/2024,0554724117,0,0
SBG-2025-02508,Kofi MotorsLtd,Fishing,Eastern,Akan,2.9,Male,51,No,3,8323.54,1814.25,18341.45,74,1,,73453.51,Business Expansion,None,,0,,,Approve,C,12/06/2024,0264107570,0,0
SBG-2025-02851,Weija Block FactoryLtd,Healthcare,Central,Akan,5.3,M,38,No,1,233339.84,556.01,,80,Yes,V001654002,19656.82,Asset Purchase,Cash Deposit,,3,No,574,Approve,A,15/12/2025,0267012308,0,0
SBG-2025-02437,Circle Manufacturing,Services,Western North,Mole-Dagbani,2.4,male,49,No,8,292476.89,173.28,2721.13,32,No,V001957352,5608.65,Working Capital,Stock/Inventory,51004.62,1,No,,Approve,A,25/11/2024,0591649611,0,0
SBG-2025-01934,Prestea Gold Services,Healthcare,Greater Accra,Ewe,4.6,Female,51,No,7,84959.3,,19988.34,34,Y,,9402.93,Equipment,Vehicle,19556.42,0,,473,Approve,B,04/28/2024,0559560717,0,0
SBG-2025-00008,Nana Ama TextilesEnterprises,ICT,Northern,Akan,10.1,Male,43,No,2,15746.07,6334.23,12745.04,17,No,,55204.77,Equipment,Guarantor Only,0,1,No,,Approve,B,04/11/2024,0266186190,0,0
SBG-2025-00904,Achimota FarmsEnterprises,Mining/Quarrying,Greater Accra,Guan,4.4,Male,52,No,9,8330.53,,12468.3,12,0,C006316039,76339.84,Business Expansion,Cash Deposit,53197.72,1,Yes,,Approve,B,02/26/2025,0244891725,0,0
SBG-2025-01256,Dzorwulu DigitalCo,Manufacturing,Ashanti,Gurma,2.8,male,34,No,1,589457.5,4620.31,6693.98,37,yes,P005303178,14174.62,Working Capital,Property,146925.31,0,,,Refer,A,18/04/2024,0276937201,0,0
SBG-2025-00870,Kofi MotorsVentures,Transport,Western,Akan,14.6,Male,49,No,29,"GHS 32,203.39",3472.43,30369.99,12,yes,V007943673,3079.32,Working Capital,Guarantor Only,0,0,,,Approve,A,16/05/2024,0551863200,0,0
SBG-2025-00416,Dzorwulu Digital,Agriculture,Ashanti,Akan,3,female,50,No,5,30249.72,7118.86,15665.7,37,N,V001575367,67071.96,Debt Refinancing,Land,8996.76,1,No,573,Approve,A,06/08/2024,0545080995,0,0
SBG-2025-01038,Airport City Consulting,Healthcare,Western,Ga-Adangbe,6.5,Male,42,No,1,822197.53,,26703.03,0,Yes,,1327.8,Vehicle Purchase,None,0,0,,456,Refer,B,06/05/2024,0264635577,0,0
SBG-2025-01802,Adenta ConstructionVentures,Fishing,Eastern,Akan,6.7,male,53,No,15,16615.03,4034.57,45706.31,106,yes,V004318886,13182.2,Asset Purchase,Cash Deposit,16374.89,1,No,473,Approve,B,13/01/2025,0557723359,0,0
SBG-2025-02606,Adenta ConstructionLtd,Services,Greater Accra,Ga-Adangbe,3.6,Male,28,No,60,47710.36,4039.27,,4,1,,117092.36,Asset Purchase,Guarantor Only,,0,,,Approve,B,10/06/2025,0208382340,0,0
SBG-2025-02823,Madina Auto Parts,Healthcare,Central,Akan,5,Male,37,No,9,"GHS 10,109.97",12811.25,1383.65,143,Y,P002919053,29534.26,Business Expansion,Cash Deposit,893283.53,1,No,,Approve,A,24/04/2024,0200389436,0,0
SBG-2025-00200,Techiman Market Store,Construction,Ashanti,Guan,7.6,female,62,No,27,37514.63,956.2,3923.64,42,No,C005572763,28364.48,Equipment,Cash Deposit,1888.58,1,No,,Approve,B,12/27/2025,0248422907,0,0
SBG-2025-00284,Tema Cold StorageLtd,Transport,Western North,Ga-Adangbe,0.5,Female,45,Yes,9,334278.83,4637.93,3649.47,6,TRUE,C005524929,15735.58,Vehicle Purchase,Land,49052.85,2,No,547,Decline,C,01/02/2024,0546488676,67,1
SBG-2025-00232,Bolgatanga CraftsEnterprises,Construction,Greater Accra,Ewe,3.5,female,45,No,20,23688.32,5185.37,54.91,66,Yes,V005416956,14994.18,Inventory Purchase,Guarantor Only,0,2,No,573,Approve,B,01/17/2024,0203468141,0,0
SBG-2025-01624,Madina DigitalLtd,Fishing,Greater Accra,Ewe,15.8,Male,42,No,23,148104.33,3935.72,500405.29,23,Yes,C005077319,77182.79,Asset Purchase,Guarantor Only,0,2,No,610,Approve,B,22/01/2024,0271680594,0,0
SBG-2025-00991,Madina Auto PartsLtd,Mining/Quarrying,Ahafo,Akan,8,female,49,No,2,14736.89,,,27,Yes,V000915154,9942.4,Working Capital,Property,,2,Yes,,Approve,C,16/12/2025,0241346994,0,0
SBG-2025-00097,Sunyani TimberEnterprises,Agriculture,Greater Accra,Ewe,3.7,female,44,No,1,162429.9,1870.18,7498.29,35,yes,P003583373,20112.15,Equipment,Guarantor Only,0,2,No,,Refer,A,09/10/2025,0545978586,0,0
SBG-2025-02861,Pantang Agribusiness,Construction,Greater Accra,Ga-Adangbe,10.1,Male,43,No,13,266542.78,2495.92,2317.94,42,0,P004916458,32073.39,Vehicle Purchase,None,,2,No,,Approve,B,07/03/2025,0549977264,0,0
SBG-2025-02604,Agbogbloshie RecyclingEnterprises,Hospitality,Ashanti,Mande,1.9,Male,51,No,1,96194.91,26781.73,116595.65,19,Y,,19084.46,Business Expansion,None,0,0,,,Approve,B,09/03/2024,0592820842,0,0
SBG-2025-01437,Weija Block FactoryVentures,Agriculture,Ashanti,Guan,1.8,F,45,No,19,79976.21,3780.71,939.19,51,No,,75835.23,Vehicle Purchase,Equipment,263413.62,0,,,Approve,B,07/03/2024,0550320533,0,0
SBG-2025-00737,Legon Tech HubGH,Mining/Quarrying,Upper East,Gurma,2.5,Female,41,No,5,,7696.1,285.9,55,TRUE,C006382107,41511.09,Renovation,Vehicle,44008.28,2,No,,Approve,C,05/23/2024,0278978459,0,0
SBG-2025-02827,Mensah EnterpriseCo,Services,Savannah,Mole-Dagbani,6.5,Male,28,No,36,88700.86,17860.23,5545.16,44,1,P001048698,3994.84,Asset Purchase,Stock/Inventory,29135.17,2,Yes,,Refer,B,18/12/2024,0261508901,0,0
SBG-2025-01746,Madina Digital,Fishing,Ashanti,Akan,3.3,female,31,No,1,659135.8,6403.13,,35,Yes,P001274722,7699.17,Business Expansion,Guarantor Only,0,3,No,,Approve,C,21/06/2024,0205811529,0,0
SBG-2025-02900,Dome-Kwabenya FarmsEnterprises,ICT,Eastern,Ewe,0.2,Female,46,No,14,40676.8,7717.83,37923.12,12,yes,V003100896,82765.13,Business Expansion,None,,2,Yes,,Refer,E,10/10/2025,0548145295,101,1
SBG-2025-02622,Teshie VenturesLtd,Education,Greater Accra,Ga-Adangbe,11.1,Female,41,No,14,45567.01,7217.07,6098.21,20,N,V007596597,10848.89,Business Expansion,Property,,2,Yes,,Approve,B,01/24/2025,0244868092,0,0
SBG-2025-01454,East Legon PropertiesVentures,Services,Bono,Akan,4.2,Female,43,No,39,13051.1,3343.35,2592.87,42,Yes,C005478514,70677.8,Business Expansion,Cash Deposit,76599.26,3,No,384,Approve,C,08/07/2024,0277966384,0,0
SBG-2025-01424,Ridge ConsultingLtd,Transport,Ashanti,Akan,0.8,Female,34,No,2,43535.09,7098.82,19515.96,2,Yes,,8991.46,Renovation,Land,,0,,,Approve,E,05/18/2025,0271901818,70,1
SBG-2025-00105,Spintex Road LogisticsEnterprises,Services,Volta,Ewe,11.9,Male,48,No,19,11476.66,55798.76,2975.97,24,Y,,11350.42,Inventory Purchase,None,0,1,No,,Approve,A,27/08/2025,0272218816,0,0
SBG-2025-02259,Pantang AgribusinessGH,ICT,Upper West,Ga-Adangbe,1.9,female,48,No,5,$21892.72,1723.38,6533.6,20,yes,V009063023,18464.27,Vehicle Purchase,Equipment,76759.46,3,No,,Approve,A,15/12/2024,0550087515,0,0
SBG-2025-01092,Madina Digital,Mining/Quarrying,Ahafo,Akan,5.2,female,35,No,6,41081.91,1371.69,4534.06,30,No,C003839639,5414.64,Debt Refinancing,Guarantor Only,0,0,,,Approve,C,06/26/2024,0599003994,0,0
SBG-2025-01126,Ashongman EstatesLtd,Construction,Ashanti,Akan,4,Male,29,No,13,"GHS 62,782.58",15544.75,6134.46,22,Yes,V000096761,4358.6,Inventory Purchase,Stock/Inventory,73402.57,3,No,,Approve,B,08/01/2025,0594100811,0,0
SBG-2025-02872,Korle Bu Supplies,Healthcare,Greater Accra,Mole-Dagbani,14.6,Female,42,No,19,39965,9012.1,36808.62,28,Y,,30942.29,Business Expansion,Guarantor Only,0,0,No,,Approve,B,17/01/2025,0275598243,0,0
SBG-2025-02195,Nana Ama TextilesEnterprises,Retail/Trading,Greater Accra,Akan,0.6,Female,45,No,21,40095.7,4761.09,1345.14,15,no,V007375145,42218.38,Business Expansion,Property,,1,No,465,Approve,A,01/19/2025,0262640136,0,0
SBG-2025-00810,Prestea Gold ServicesGH,Retail/Trading,Upper East,Mande,0.6,Female,45,No,1,$23830.21,3657.67,,12,No,P003282503,8850.26,Working Capital,Property,67313.68,1,No,,Approve,C,03/20/2025,0244007789,0,0
SBG-2025-00813,Techiman Market StoreEnterprises,Services,Western,Ga-Adangbe,0.7,F,37,No,2,163820.52,3953.6,34.72,51,No,C007838667,32930.83,Debt Refinancing,Guarantor Only,0,1,No,,Refer,A,09/12/2024,0208464980,0,0
SBG-2025-00227,Kofi MotorsCo,Services,Ashanti,Ga-Adangbe,18.1,Female,56,No,3,61362.94,,5891.77,29,Yes,C002587698,41868.62,Business Expansion,Equipment,34116.07,1,No,,Decline,A,17/04/2024,0202258083,0,0
SBG-2025-00790,Ridge Consulting,ICT,Ashanti,Ga-Adangbe,14.7,M,39,No,19,197700.79,9779.79,56613.15,61,yes,,4239.95,Inventory Purchase,Guarantor Only,0,5,No,,Decline,D,24/11/2024,0264661468,86,1
SBG-2025-02786,Techiman Market Store,ICT,Ashanti,Akan,1.4,female,42,No,6,7983.93,5863.96,13796.35,80,TRUE,,229878.13,Inventory Purchase,Equipment,,3,No,537,Approve,A,04/07/2024,0241488653,0,0
SBG-2025-01577,East Legon Properties,Construction,Eastern,Akan,0.1,Female,51,No,7,17127.48,15003.03,1912.66,27,No,V007385984,55908.38,Working Capital,Cash Deposit,,1,Yes,,Decline,D,01/13/2025,0276356923,153,1
SBG-2025-02367,Ashaiman Steel WorksCo,Agriculture,North East,Mole-Dagbani,0.7,female,65,No,3,64171.69,9282.27,26969.44,99,TRUE,PENDING,35635.5,Debt Refinancing,Equipment,4487.98,4,No,475,Approve,A,11/16/2025,0271287289,0,0
SBG-2025-00963,Kwaku TradingCo,Fishing,Northern,Gurma,1.4,female,62,No,2,301699.9,1089.75,72088.71,55,Yes,,3883.02,Working Capital,Equipment,30575.2,3,No,480,Approve,A,21/10/2025,0543424969,0,0
SBG-2025-02121,Tamale Agri ServicesVentures,Mining/Quarrying,Greater Accra,Akan,8.1,F,45,No,19,131399.61,7363.73,117824.72,36,1,C002354330,46385.32,Inventory Purchase,Vehicle,10106.67,0,,673,Refer,E,17/10/2025,0599018474,71,1
SBG-2025-00686,Prestea Gold ServicesLtd,Retail/Trading,Ashanti,Ga-Adangbe,4.1,Male,46,No,7,108332.54,1266.52,50680.23,73,TRUE,V006555735,228392.96,Asset Purchase,Guarantor Only,0,1,Yes,,Approve,C,24/09/2025,0266681955,0,0
SBG-2025-01296,Obuasi Mining Supplies,Agriculture,Western,Akan,1.1,Male,30,No,44,38594.43,20635.62,8645.96,31,Y,P007353286,59341.22,Business Expansion,Land,43895.86,4,No,624,Approve,B,12/06/2025,0208980239,0,0
SBG-2025-02773,Weija Block FactoryLtd,Education,Northern,Ga-Adangbe,8.2,Female,39,No,11,160489.15,8789.68,6779.92,20,Yes,,14683.32,Inventory Purchase,Stock/Inventory,81816.53,5,No,,Approve,C,01/03/2024,0593337266,0,0
SBG-2025-01651,Bolgatanga CraftsCo,Healthcare,Western North,Guan,0.2,female,33,No,16,21639.12,3023.24,30301.76,94,yes,,64693.53,Inventory Purchase,Stock/Inventory,37875.89,2,Yes,,Approve,B,27/08/2025,0264172442,0,0
SBG-2025-00465,Ashongman EstatesVentures,Manufacturing,Eastern,Akan,16.4,male,60,No,1,95731.1,6468.62,114908.68,9,1,,43194.09,Renovation,Vehicle,37060.38,1,Yes,,Decline,D,03/01/2025,0545658566,31,1
SBG-2025-02814,Circle ManufacturingLtd,Construction,Northern,Mole-Dagbani,0.9,M,42,No,7,2062483.48,21206.38,2279.15,146,Yes,V007997693,10127.49,Working Capital,Cash Deposit,62585.93,1,No,,Approve,B,09/03/2024,0590257801,0,0
SBG-2025-01175,Madina Auto PartsLtd,Transport,Greater Accra,Akan,5,Male,36,No,22,15010.02,1180.18,4512.22,5,Y,C009513455,27502.81,Inventory Purchase,Land,15721.28,2,No,,Approve,A,09/03/2025,0271581109,0,0
SBG-2025-01323,Weija Block FactoryEnterprises,ICT,Volta,Ewe,10.3,Male,30,No,10,12824.62,2053.38,2129.73,3,0,,13054.86,Debt Refinancing,Stock/Inventory,117725.38,1,No,,Approve,A,22/03/2024,0266041336,0,0
SBG-2025-02338,Golden Gate ImportsCo,Services,Central,Ga-Adangbe,2.3,female,32,No,12,40562.73,11029.11,17597.29,44,Yes,V004132873,41962.54,Business Expansion,Stock/Inventory,,3,Yes,843,Approve,A,07/27/2025,0265255040,0,0
SBG-2025-01642,Axim FisheriesEnterprises,Hospitality,Bono,Guan,9.2,Male,37,No,19,79791.8,1468.93,21066.28,24,0,P007708718,4563.25,Debt Refinancing,Stock/Inventory,84723.55,2,No,,Refer,B,11/03/2025,0265920391,0,0
SBG-2025-00965,Grace Foods LtdLtd,Services,Western,Akan,1.7,Male,38,No,22,49290.69,1872.71,3191.55,8,Yes,C004985761,29533.23,Business Expansion,Stock/Inventory,81022.17,1,No,347,Refer,E,05/17/2025,0263538914,130,1
SBG-2025-00213,Kofi MotorsLtd,Manufacturing,Greater Accra,Akan,5.3,F,32,No,3,"GHS 240,872.61",,75993.02,37,TRUE,P002715125,15151.07,Renovation,Stock/Inventory,88226.88,1,No,,Refer,B,04/07/2025,0208755657,0,0
SBG-2025-00013,Adom VenturesEnterprises,Fishing,Ashanti,Ga-Adangbe,8.9,Female,26,No,7,8221.65,1060.26,2479.89,56,Yes,P005511863,23210.8,Vehicle Purchase,Guarantor Only,0,2,Yes,,Approve,B,18/10/2025,0249756635,0,0
SBG-2025-02941,Golden Gate ImportsVentures,Manufacturing,Eastern,Akan,1.5,Male,57,No,6,180499.4,566.44,,1,Yes,,8691.26,Equipment,Stock/Inventory,72163.1,0,,,Approve,E,05/15/2025,0552075627,59,1
SBG-2025-00423,Prestea Gold ServicesGH,Manufacturing,Greater Accra,Akan,0.5,male,40,No,14,18359.98,5972.22,,9,Yes,V006776298,46462.22,Equipment,Equipment,270969.63,3,No,,Approve,B,10/01/2025,0275276755,0,0
SBG-2025-00875,Golden Gate ImportsGH,Hospitality,Upper West,Grusi,0.1,Male,44,No,12,6365.22,1438.91,12864.06,39,0,C009717907,14039.16,Equipment,Cash Deposit,13249.27,0,,,Approve,B,05/04/2025,0243920166,0,0
SBG-2025-01221,Circle ManufacturingVentures,Services,Ashanti,Akan,15.1,female,39,No,6,34064.96,825.35,257.45,5,0,,13511.52,Inventory Purchase,Guarantor Only,0,1,No,,Refer,A,07/04/2025,0277727493,0,0
SBG-2025-01223,Kasoa Trading HubCo,Healthcare,Savannah,Grusi,2.8,female,45,No,62,28735.21,4370.38,13339.96,7,TRUE,V004637805,14587.85,Working Capital,Property,12427.84,1,No,,Approve,B,12/13/2024,0275821234,0,0
SBG-2025-01570,Tarkwa HardwareEnterprises,ICT,Ashanti,Akan,3,Male,41,No,7,69091.92,810.81,3063.7,2,no,,8289.25,Renovation,Land,7462.25,1,No,,Refer,C,09/10/2025,0543189356,177,1
SBG-2025-02675,Haatso PropertiesEnterprises,Fishing,Ashanti,Akan,11,Male,64,No,1,$4810.30,332.35,3802.65,115,Yes,C002450571,134879.97,Equipment,Stock/Inventory,10640.67,1,No,,Decline,D,19/01/2025,0263865780,75,1
SBG-2025-01899,Madina Digital,Healthcare,Central,Ewe,2.2,Female,46,No,1,"GHS 198,511.46",14079.9,16209.92,23,No,,45836.77,Renovation,Cash Deposit,,4,No,599,Approve,B,09/15/2025,0550350566,0,0
SBG-2025-00696,Ashongman EstatesEnterprises,Construction,Ashanti,Guan,4.7,M,21,No,4,6459.72,4031.09,8025.66,14,No,,22499.16,Equipment,Stock/Inventory,97081.44,1,No,,Decline,E,19/01/2025,0556711090,74,1
SBG-2025-02320,Wa Livestock,Healthcare,Oti,Ewe,2.6,Female,42,No,7,,,6102.25,45,No,P009813001,35306.12,Working Capital,Stock/Inventory,34969.98,1,No,622,Refer,B,08/17/2024,0597325953,0,0
SBG-2025-01656,Adenta ConstructionGH,Education,Ashanti,Akan,13.8,Female,47,No,16,18834.33,1028.65,123957.81,8,Y,,25580.57,Debt Refinancing,Property,12031.59,1,No,,Approve,A,07/09/2025,0246411160,0,0
SBG-2025-00510,Aflao Border Trade,Healthcare,Greater Accra,Mole-Dagbani,6.5,Male,43,No,3,3935.03,3084,7913.56,44,1,V004589895,13274.47,Inventory Purchase,None,0,1,No,361,Approve,A,01/09/2024,0209415973,0,0
